filename,transcript
utt_0133.wav,xabarlarni o'qib chiqdim bugun
utt_0134.wav,hozirgi avlodga ovozli xabar yuborish qulay
utt_0135.wav,emoji ishlatish muloqotni jonlantiradi
utt_0136.wav,dostlarimga stiker yuborish qiziqarli
utt_0137.wav,guruhda suhbat boshlandi
utt_0138.wav,video qo'ng'iroq qilish mumkin
utt_0139.wav,kamera ishlashi kerak tekshiring
utt_0140.wav,mikrofonni yoqish unutildi
utt_0141.wav,tovush balandligini sozlang
utt_0142.wav,wi fi tarmog'iga ulanish kerak
utt_0143.wav,mobil internetdan foydalanaman
utt_0144.wav,bu oyda trafik tugab qoldi tezda
utt_0145.wav,tarifni o'zgartirish vaqti keldi
utt_0146.wav,raqamni saqlash kerak bo'ladi
utt_0147.wav,kontaktlarni zaxiralash muhim
utt_0148.wav,kalendarida eslatma qo'ydim
utt_0149.wav,reja tuzish kunni tartibga soladi
utt_0150.wav,vazifalar ro'yxatini tuzaman
utt_0151.wav,maqsadlarni belgilash muvaffaqiyat kaliti
utt_0152.wav,vaqtni boshqarish o'rganish kerak
utt_0153.wav,ish bilan hayotni muvozanatlash muhim
utt_0154.wav,bazi-bazida dam olib turish ham zarur
utt_0155.wav,maktab bolalariga ta'tilga chiqish vaqti keldi
utt_0156.wav,mehmondorchilikga tayyorgarlik ko'rish kerak
utt_0157.wav,ziyofat uyushtirish qiyin vazifa
utt_0158.wav,tort pishirishni tezlik bilan o'rganayapman
utt_0159.wav,kabob qilish uchun on kilogarm go'sht oldim
utt_0160.wav,oshlov damlab turibdi pechkada
utt_0161.wav,somsa yeyish juda yoqimli va mazali
utt_0162.wav,lag'mon tayyorlash vaqt talab qiladi
utt_0163.wav,choy damlab ichish an'ana
utt_0164.wav,qahva ichish tongni boshlaydi
utt_0165.wav,sharbat ichimlik yozda yaxshi
utt_0166.wav,meva sharbati tayyorladim bugun
utt_0167.wav,salat tayyorlash tez va oson
utt_0168.wav,non yeyish har kuni zarur
utt_0169.wav,sabzavotlar iste'mol qilish kerak
utt_0170.wav,mevalarni yaxshi yuvish lozim
utt_0171.wav,sut ichish bolalar uchun foydali
utt_0172.wav,tuxum bilan nonushta qilaman
utt_0173.wav,palov tayyorlash san'at hisoblanadi
utt_0174.wav,sho'rva issiq holda mazali
utt_0175.wav,gosht bilan sabzavotlar qovuramiz
utt_0176.wav,baliq ovqatlari sog'lom hisoblanadi
utt_0177.wav,tovuq go'shti yengil taom
utt_0178.wav,sendvich tayyorlash juda oson
utt_0179.wav,pitsa buyurtma qilish mumkin
utt_0180.wav,burger yeydigan joylar ko'p
utt_0181.wav,donerlar mashhur fastfud hisoblanadi
utt_0182.wav,shirinliklar kamroq iste'mol qilish kerak
utt_0183.wav,shokolad yeyish kayfiyatni ko'taradi
utt_0184.wav,muzqaymoq yozda eng mazali
utt_0185.wav,pishiriqlar choyga juda mos
utt_0186.wav,asaldan foydalanish foydali
utt_0187.wav,yogurt kundalik iste'mol qilish yaxshi
utt_0188.wav,pishloq turli xillari mavjud
utt_0189.wav,yog' va sariyog' kamroq ishlatish kerak
utt_0190.wav,achiq chuchuk soslar mazani oshiradi
utt_0191.wav,sirka bilan salat tayyorlaymiz
utt_0192.wav,tuz kamroq qo'shish sog'lom
utt_0193.wav,shakar haddan tashqari zararli
utt_0194.wav,vitamin qo'shimchalari foydali bo'lishi mumkin
utt_0195.wav,dorilarni shifokor maslahati bilan ichish kerak
utt_0196.wav,og'riq qoldiruvchi vositalar kerak bo'ladi
utt_0197.wav,temperatura o'lchash zarur holatlarda
utt_0198.wav,qon bosimini tekshirish muhim
utt_0199.wav,yurak salomatligini nazorat qilish lozim
utt_0200.wav,tishlarni davolash kerak vaqtida
utt_0201.wav,ko'zga tekshiruv o'tkazish foydali
utt_0202.wav,quloq kasalliklari oldini olish kerak
utt_0203.wav,teri muammolari bilan kurashish lozim
utt_0204.wav,allergiya sinovlaridan o'tish mumkin
utt_0205.wav,shamollash va sovuq tish oldini olish kerak
utt_0206.wav,toza havo nafas olish uchun zarur
